国家,确诊总数,现存确诊,死亡总数,治愈总数,新增确认,新增治愈,新增死亡
丹麦,6691,6691,285,2409,178,6,0
以色列,11868,11868,117,2001,633,312,7
伊拉克,1378,1378,78,717,26,77,2
俄罗斯,21102,21102,170,1694,2774,224,22
克罗地亚,1660,1660,25,400,0,0,0
冰岛,1711,1711,8,933,10,44,0
加拿大,25680,25680,780,7758,1296,586,63
爱尔兰,10647,10647,365,25,992,0,31
北马其顿,908,908,44,86,54,45,10
博茨瓦纳,13,13,1,0,0,0,0
印度,10541,10541,358,1205,1189,109,27
厄瓜多尔,7529,7529,355,597,63,96,22
哥伦比亚,2852,2852,112,319,76,49,3
圣马力诺,371,371,36,53,15,0,1
埃及,2190,2190,164,589,125,0,5
墨西哥,5014,5014,332,1964,353,121,36
奥地利,14146,14146,384,7633,133,290,16
尼日利亚,343,343,10,91,20,6,0
尼泊尔,16,16,0,1,2,0,0
巴基斯坦,5716,5716,96,1378,342,283,3
巴林,1522,1522,7,645,174,54,1
巴西,23723,23723,1355,2979,1405,2806,114
希腊,2145,2145,99,269,31,0,1
德国,131074,131074,3221,68200,2408,3900,173
挪威,6605,6605,134,32,78,0,3
摩纳哥,93,93,1,19,0,0,0
斯里兰卡,219,219,7,59,5,2,0
新西兰,1366,1366,9,628,17,82,4
柬埔寨,122,122,0,91,0,14,0
格鲁吉亚,299,299,3,69,33,2,0
比利时,31119,31119,4157,6868,330,161,254
法国,137877,137877,14986,28001,4205,532,574
泰国,2613,2613,41,1405,34,117,1
澳大利亚,6494,6494,61,3338,135,0,0
爱沙尼亚,1373,1373,31,115,41,13,4
瑞典,11445,11445,1033,381,497,0,114
瑞士,25807,25807,1155,13700,184,1000,26
白俄罗斯,3281,3281,33,203,362,0,4
科威特,1355,1355,3,176,55,26,1
科特迪瓦,626,626,6,89,52,4,1
立陶宛,1070,1070,24,101,8,0,0
罗马尼亚,6879,6879,346,1051,246,137,28
芬兰,3161,3161,59,300,97,0,0
英国,89571,89571,11347,627,17,0,1
荷兰,27580,27580,2955,297,870,2,122
菲律宾,5223,5223,335,295,291,53,20
西班牙,172541,172541,18056,67504,3045,2777,567
越南,266,266,0,169,1,24,0
阿塞拜疆,1148,1148,12,289,0,0,0
阿富汗,714,714,23,40,49,2,2
阿尔及利亚,1983,1983,313,601,69,10,20
阿曼,813,813,4,130,86,6,0
阿联酋,4521,4521,25,852,398,172,3
马来西亚,4987,4987,82,2478,170,202,5
黎巴嫩,641,641,21,80,9,0,1
韩国,10564,10564,222,7534,27,87,5
伊朗,74877,74877,4683,48129,1574,2146,98
意大利,159516,159516,20465,35435,3153,1224,566
新加坡,3252,3252,9,586,720,26,1
日本,8167,8167,159,853,553,91,21
钻石公主号,712,712,12,639,0,0,0
美国,587752,587752,23765,44308,29226,1573,1619
捷克,6059,6059,147,527,68,60,8
印度尼西亚,4839,4839,459,426,282,46,60
卡塔尔,3428,3428,7,373,197,39,0
多米尼加,3167,3167,177,152,200,21,4
卢森堡,3292,3292,69,500,11,0,3
葡萄牙,17448,17448,567,347,514,70,32
亚美尼亚,1067,1067,16,265,28,54,2
约旦,391,391,7,215,2,14,0
安道尔,646,646,29,139,0,0,0
塞内加尔,299,299,2,183,8,5,0
沙特阿拉伯,4934,4934,65,805,0,0,0
